URL,TEXT
https://www.walgreens.com/store/c/productlist/N=4019/1/Brands=yes,Bertolli
https://www.walgreens.com/store/c/productlist/N=520516/1/Brands=yes,Bestway
https://www.walgreens.com/store/c/productlist/N=353507/1/Brands=yes,Betadine
https://www.walgreens.com/store/c/productlist/N=308513/1/Brands=yes,Betsey Johnson
https://www.walgreens.com/store/c/productlist/N=1004/1/Brands=yes,Betty Crocker
https://www.walgreens.com/store/c/productlist/N=521855/1/Brands=yes,Beurer
https://www.walgreens.com/store/c/productlist/N=355860/1/Brands=yes,Beverly Hills Polo Club
https://www.walgreens.com/store/c/productlist/N=373228/1/Brands=yes,Beyond Bodi Heat
https://www.walgreens.com/store/c/productlist/N=9000153022/1/Brands=yes,Beyond Meat
https://www.walgreens.com/store/c/productlist/N=491/1/Brands=yes,BIC
https://www.walgreens.com/store/c/productlist/N=1546/1/Brands=yes,Bicycle
https://www.walgreens.com/store/c/productlist/N=9000150725/1/Brands=yes,Big Clean
https://www.walgreens.com/store/c/productlist/N=519739/1/Brands=yes,Big Foot
https://www.walgreens.com/store/c/productlist/N=9000156743/1/Brands=yes,Big G Creative
https://www.walgreens.com/store/c/productlist/N=9000153377/1/Brands=yes,Big G Games
https://www.walgreens.com/store/c/productlist/N=356104/1/Brands=yes,Big Red
https://www.walgreens.com/store/c/productlist/N=1359/1/Brands=yes,Big Roll
https://www.walgreens.com/store/c/productlist/N=375267/1/Brands=yes,Big Sexy
https://www.walgreens.com/store/c/productlist/N=351021/1/Brands=yes,Bigelow
https://www.walgreens.com/store/c/productlist/N=438315/1/Brands=yes,BIGEN
https://www.walgreens.com/store/c/productlist/N=433/1/Brands=yes,Bikini Zone
https://www.walgreens.com/store/c/productlist/N=9000156395/1/Brands=yes,Billie
https://www.walgreens.com/store/c/productlist/N=900060910/1/Brands=yes,Billy Jealousy
https://www.walgreens.com/store/c/productlist/N=306153/1/Brands=yes,Bio-Oil
https://www.walgreens.com/store/c/productlist/N=9000153095/1/Brands=yes,Bio360
